ENERO | ENERO/MARZO | Especial: AIRE LIBRE |
ENERO | 02/01 al 15/02 | Especial: TEMPORADA VERANO MARDEL |
ENERO | 2026-01-01 | Año Nuevo |
ENERO | 2026-01-06 | Reyes Magos |
ENERO | 26/01 al 08/03 | Especial: VUELTA AL COLE |
ENERO | 2026-01-19 | Blue Monday |
ENERO | 2026-01-24 | Día Internacional de la Educación |
ENERO | 2026-01-27 | Día Mundial del Conservacionista |
ENERO | 2026-01-28 | Día Mundial por la Reducción de las Emisiones de CO2 |
ENERO | 2026-01-30 | Día Escolar de la No Violencia y la Paz |

FEBRERO | 2026-02-02 | Día Mundial de los Humedales |
FEBRERO | 2026-02-04 | Día Mundial contra el Cáncer |
FEBRERO | 2026-02-07 | Día del Carnaval (carnaval de corrientes) |
FEBRERO | 2026-02-08 | Día del Carnaval (carnaval de corrientes) |
FEBRERO | 2026-02-09 | Día del Carnaval (carnaval de corrientes) |
FEBRERO | 2026-02-10 | Día del Carnaval (carnaval de corrientes) |
FEBRERO | 2026-02-13 | Día Mundial de la Radio |
FEBRERO | 2026-02-14 | San Valentín |
FEBRERO | 2026-02-16 | Carnaval |
FEBRERO | 2026-02-17 | Carnaval |
FEBRERO | 2026-02-20 | Día Mundial de la Justicia Social |
FEBRERO | 2026-02-21 | Día Internacional de la Lengua Materna |
FEBRERO | 2026-02-27 | Día Internacional del Oso Polar |

MARZO | 2026-03-01 | Día Mundial de la Naturaleza |
MARZO | 2026-03-03 | Día Mundial de la Vida Silvestre |
MARZO | 2026-03-08 | Día Internacional de la Mujer |
MARZO | 2026-03-10 | Día Internacional de la Audición |
MARZO | 2026-03-13 | Día Mundial del Riñón |
MARZO | 2026-03-14 | Día Mundial del Sueño |
MARZO | 2026-03-15 | Día Mundial de los Derechos del Consumidor |
MARZO | 2026-03-20 | Día Internacional de la Felicidad |
MARZO | 2026-03-21 | Día Internacional de los Bosques |
MARZO | 2026-03-21 | Día Mundial del Síndrome de Down |
MARZO | 2026-03-22 | Día Mundial del Agua |
MARZO | 2026-03-23 | Día Meteorológico Mundial |
MARZO | 2026-03-24 | Día Mundial de la Tuberculosis |
MARZO | 2026-03-27 | Día Mundial del Teatro |

ABRIL | 2026-04-02 | Día Mundial de Concienciación sobre el Autismo |
ABRIL | 2026-04-07 | Día Mundial de la Salud |
ABRIL | 2026-04-13 | Día Internacional del Beso |
ABRIL | 2026-04-15 | Día Mundial del Arte |
ABRIL | 2026-04-17 | Día Mundial de la Hemofilia |
ABRIL | 2026-04-22 | Día Internacional de la Madre Tierra |
ABRIL | 2026-04-23 | Día Internacional del Libro |
ABRIL | 2026-04-25 | Día Mundial del Paludismo |
ABRIL | 2026-04-29 | Día Internacional de la Danza |

MAYO | 2026-05-01 | Día del Trabajador |
MAYO | 2026-05-03 | Día Mundial de la Libertad de Prensa |
MAYO | 2026-05-04 | Día Internacional de los Bomberos |
MAYO | 2026-05-05 | Día Mundial de la Higiene de Manos |
MAYO | 2026-05-10 | Día de la Madre |
MAYO | 2026-05-12 | Día Internacional de la Enfermería |
MAYO | 2026-05-15 | Día Internacional de la Familia |
MAYO | 2026-05-17 | Día Mundial del Reciclaje |
MAYO | 2026-05-20 | Día Mundial de las Abejas |
MAYO | 2026-05-21 | Día Mundial de la Diversidad Cultural |
MAYO | 2026-05-22 | Día Internacional de la Biodiversidad |
MAYO | 2026-05-25 | Revolución de Mayo |
MAYO | 2026-05-28 | Día Internacional de la Hamburguesa |
MAYO | 2026-05-31 | Día Mundial sin Tabaco |

JUNIO | 2026-06-01 | Día Mundial de las Madres y los Padres |
